Date; 138-145k ST ; 145k ST ; 155-165k TFDE ; 174k MEGI / XDF 
06.01.2019; 70 000 ;; 100 000 ; 120 000 
13.01.2019; 61 500 ;; 77 500 ; 87 500 
20.01.2019; 56 500 ;; 74 000 ; 85 500 
27.01.2019; 49 500 ;; 66 000 ; 77 500 
03.02.2019; 47 500 ;; 61 500 ; 73 000 
10.02.2019; 37 500 ;; 55 000 ; 67 500 
17.02.2019; 34 000 ;; 51 000 ; 63 750 
24.02.2019; 32 000 ;; 49 000 ; 63 000 
03.03.2019; 29 750 ;; 46 000 ; 62 000 
10.03.2019; 28 750 ;; 44 000 ; 62 000 
17.03.2019; 27 000 ;; 37 500 ; 55 500 
24.03.2019; 25 000 ;; 35 000 ; 55 500 
31.03.2019; 25 000 ;; 36 500 ; 55 500 
07.04.2019; 25 000 ;; 36 500 ; 55 500 
14.04.2019; 25 000 ;; 36 500 ; 55 500 
21.04.2019; 26 000 ;; 38 000 ; 50 500 
28.04.2019; 26 000 ;; 37 500 ; 48 500 
05.05.2019; 30 250 ;; 45 000 ; 53 500 
12.05.2019; 32 000 ;; 48 750 ; 60 000 
19.05.2019; 33 500 ;; 58 500 ; 65 000 
26.05.2019; 36 500 ;; 58 500 ; 66 500 
02.06.2019; 36 500 ;; 58 500 ; 66 500 
09.06.2019; 33 000 ;; 53 000 ; 61 500 
16.06.2019; 31 500 ;; 51 500 ; 60 000 
23.06.2019; 31 500 ;; 51 500 ; 60 000 
30.06.2019; 30 500 ;; 49 500 ; 58 500 
07.07.2019; 30 500 ;; 45 000 ; 57 500 
14.07.2019; 34 500 ;; 54 000 ; 62 500 
21.07.2019; 35 500 ;; 55 500 ; 63 500 
28.07.2019; 35 500 ;; 55 500 ; 63 500 
04.08.2019; 36 000 ;; 58 500 ; 65 500 
11.08.2019; 41 000 ;; 63 000 ; 70 500 
18.08.2019; 44 500 ;; 65 500 ; 71 500 
25.08.2019; 44 500 ;; 66 500 ; 71 500 
01.09.2019; 44 500 ;; 66 500 ; 71 500 
08.09.2019; 41 000 ;; 62 500 ; 69 500 
15.09.2019; 38 500 ;; 58 000 ; 66 500 
22.09.2019; 45 000 ;; 70 000 ; 85 500 
29.09.2019; 49 000 ;; 73 000 ; 92 500 
06.10.2019; 59 500 ;; 85 500 ; 102 000 
13.10.2019; 90 000 ;; 130 000 ; 150 000 
20.10.2019; 95 000 ;; 125 000 ; 150 000 
27.10.2019; 95 000 ;; 125 000 ; 150 000 
03.11.2019; 92 500 ;; 125 000 ; 150 000 
10.11.2019; 87 500 ;; 120 000 ; 140 000 
17.11.2019; 85 000 ;; 117 500 ; 137 500 
24.11.2019; 77 500 ;; 112 500 ; 125 000 
01.12.2019; 76 000 ;; 108 500 ; 119 500 
08.12.2019; 72 500 ;; 97 500 ; 113 500 
15.12.2019; 72 500 ;; 91 000 ; 105 000 
22.12.2019; 72 500 ;; 91 000 ; 105 000 
29.12.2019; 72 500 ;; 91 000 ; 105 000 
31.12.2019; 72 500 ;; 91 000 ; 105 000 
12.01.2020; 71 000 ;; 88 500 ; 101 500 
19.01.2020; 68 500 ;; 85 500 ; 99 500 
26.01.2020; 60 000 ;; 76 500 ; 88 500 
02.02.2020; 57 500 ;; 70 000 ; 80 000 
