,Coef.,Std.Err.,z,P>|z|,CI_lower,CI_upper
JKM,-26321660.967995673,0.027678538572289253,-950977267.0710282,0.0,-26321661.022244614,-26321660.913746733
TTF,14641987.826482208,0.02498280464624926,586082628.9845905,0.0,14641987.77751681,14641987.875447607
NBP,11679673.326991659,0.05311093124962358,219910911.97585502,0.0,11679673.222896146,11679673.431087172
Spread EU-US,15251419.511930963,0.028489484276202737,535335050.7882121,0.0,15251419.4560926,15251419.567769326
Spread ASIA-US,-3571746.3428075863,0.026358751337387597,-135505141.9959099,0.0,-3571746.3944697897,-3571746.291145383
Spread ASIA-EU,29893407.394916926,0.007528757244029749,3970563324.8597813,0.0,29893407.38016083,29893407.40967302
Active_LNG_Fleet,-1.994449419291343e-08,8.468009528572689e-08,-0.23552753602386584,0.8137993092301687,-1.8591443116035814e-07,1.460254427745313e-07
ar.L1,0.6505824399009308,0.5586816807838103,1.1644957446755495,0.244223166840857,-0.44441353325764066,1.7455784130595022
ma.L1,-0.4875108393651267,0.5897452377059266,-0.8266465046186968,0.40843745052967717,-1.643390265322756,0.6683685865925026
ma.L2,-0.2844979736312676,0.19293242592640836,-1.474599058531435,0.14032036817875185,-0.6626385798969698,0.09364263263443456
ar.S.L12,0.2751520442403183,0.26944551947317175,1.0211787703069033,0.30716974861705415,-0.2529514697227841,0.8032555582034206
sigma2,0.08940565983873659,0.025695928022088275,3.4793707299414636,0.0005025927797313403,0.039042566366110025,0.13976875331136315
