Date,"LNG 145K CBM (Steam Turbine) Spot Rate (avg., $/day)","LNG 174K CBM (2-stroke dual fuel) Spot Rate (avg., $/day)",Spread EU-US,Spread ASIA-US,Spread ASIA-EU
Dec.14,,,6.96,13.09,6.13
Jan.15,40400,,6.56,12.56,6
Feb.15,32000,,6.53,11.93,5.4
Mar.15,28250,,6.54,10.3,3.76
Apr.15,25000,,4.79,8.42,3.63
May.15,24600,,4.51,6.18,1.67
Jun.15,26000,,4.53,6.02,1.49
Jul.15,23800,,3.87,6.51,2.64
Aug.15,23000,,3.91,7.41,3.5
Sep.15,23000,,3.85,7.37,3.52
Oct.15,22200,,3.63,7.99,4.36
Nov.15,21000,,3.59,7.12,3.53
Dec.15,21000,,3.77,8.11,4.34
Jan.16,20200,,2.86,6.23,3.37
Feb.16,15500,,2.86,6.06,3.2
Mar.16,15000,,2.28,6.2,3.92
Apr.16,15000,,2.01,4.67,2.66
May.16,14750,,1.9,4.72,2.82
Jun.16,14750,,1.42,4.46,3.04
Jul.16,17400,,1.53,4.08,2.55
Aug.16,26250,,1.53,4.7,3.17
Sep.16,27200,,1.06,4.89,3.83
Oct.16,23000,,0.94,4.86,3.92
Nov.16,24000,,1.66,4.28,2.62
Dec.16,27200,,1.57,3.5,1.93
Jan.17,28500,,2.96,5.86,2.9
Feb.17,23250,,3.2,4.23,1.03
Mar.17,19400,,1.95,2.8,0.85
Apr.17,18000,,1.84,2.52,0.67
May.17,20000,,1.84,2.48,0.64
Jun.17,24200,,1.99,2.53,0.54
Jul.17,26250,,2.14,2.68,0.54
Aug.17,31500,,2.63,3.23,0.59
Sep.17,30800,,3.03,4.08,1.04
Oct.17,33000,,2.98,5.88,2.9
Nov.17,42000,,3.68,6.52,2.84
Dec.17,45000,,4.44,7.94,3.5
Jan.18,46750,,3.5,8.52,5.02
Feb.18,43500,,5.18,7.81,2.63
Mar.18,30200,,5.84,5.76,-0.08
Apr.18,24500,,4.34,4.75,0.41
May.18,34500,,4.63,5.78,1.15
Jun.18,48200,,4.56,7.5,2.93
Jul.18,44500,,4.83,7.18,2.35
Aug.18,45600,,5.2,7.68,2.49
Sep.18,57250,,6.62,8.19,1.57
Oct.18,77750,,5.39,6.83,1.44
Nov.18,95800,,4.1,5.67,1.57
Dec.18,72500,,3.99,5.05,1.06
Jan.19,57102,91358,4.05,5.18,1.12
Feb.19,37130,68722,3.31,3.82,0.51
Mar.19,21848,48350,2.39,2.44,0.05
Apr.19,22500,48500,2.36,2.48,0.13
May.19,36100,64600,1.77,2.44,0.67
Jun.19,38750,69625,1.15,2.06,0.91
Jul.19,36875,66250,1.29,2.12,0.82
Aug.19,43000,75500,1.1,2.11,1.01
Sep.19,48375,82500,0.58,2.55,1.97
Oct.19,82250,127500,1,3.68,2.68
Nov.19,85300,132400,2.16,2.83,0.68
Dec.19,64250,109375,1.96,3.29,1.33
Jan.20,52900,92400,1.59,2.88,1.29
Feb.20,33875,62250,1.15,1.08,-0.08
Mar.20,29750,50375,1.06,1.55,0.49
Apr.20,27250,50375,0.32,0.36,0.04
May.20,21800,40200,-0.35,0.22,0.57
Jun.20,21125,40750,-0.05,0.35,0.4
Jul.20,19400,40200,-0.12,0.52,0.65
Aug.20,29875,55000,0.27,1.29,1.01
Sep.20,36625,65375,1.57,2.32,0.75
Oct.20,54700,91100,1.98,3.29,1.31
Nov.20,79000,123750,1.91,3.95,2.04
Dec.20,90125,147500,3.24,9.02,5.78
Jan.21,113100,176000,4.65,17.77,13.11
Feb.21,32250,66125,3.25,4.25,1
Mar.21,21250,43750,3.58,3.82,0.24
Apr.21,39400,66450,4.6,5.21,0.61
May.21,48750,78000,6.04,7.05,1.01
Jun.21,47125,80500,7.05,8.74,1.69
Jul.21,42700,82700,8.71,10.29,1.57
Aug.21,46375,80750,11.25,12.61,1.36
Sep.21,35750,69188,17.14,18.97,1.83
Oct.21,92200,158400,24.24,29.49,5.25
Nov.21,150625,247813,22.26,26.84,4.58
Dec.21,92500,173750,33.51,33.56,0.06
Jan.22,24688,56938,23.66,22.6,-1.06
Feb.22,14625,42125,22.51,23.35,0.84
Mar.22,25938,70875,36.76,33.76,-2.99
Apr.22,27200,70600,25.25,22.27,-2.98
May.22,43375,90063,19.3,13.78,-5.53
Jun.22,53750,102250,25.34,21.97,-3.37
Jul.22,30000,75150,44.04,34.06,-9.98
Aug.22,29125,106500,61.2,45.38,-15.82
Sep.22,65750,221500,47.34,36.85,-10.5
Oct.22,238125,468125,14.71,23.65,8.94
Nov.22,203125,457813,22.31,18.74,-3.57
Dec.22,81000,259500,29.62,24.97,-4.65
Jan.23,51563,119938,16.41,17.21,0.8
Feb.23,43750,90000,14.3,13.52,-0.77
Mar.23,41750,83000,11.46,10.94,-0.52
Apr.23,33750,68750,11.49,9.82,-1.67
May.23,28750,61813,7.65,7.59,-0.07
Jun.23,33600,80850,7.81,7.63,-0.19
Jul.23,39125,92563,6.97,8.24,1.27
Aug.23,62500,137500,8.07,9.1,1.04
Sep.23,110500,232750,8.73,10.45,1.72
Oct.23,91875,184375,10.22,12.13,1.9
Nov.23,112500,197500,10.66,12.36,1.7
Dec.23,62000,139750,8.76,10.52,1.76
Jan.24,36250,69750,6.81,7.3,0.49
Feb.24,25000,52375,6.3,7.03,0.72
Mar.24,27750,53950,6.76,7.25,0.48
Apr.24,27125,47563,7.34,8.01,0.66
May.24,28850,50700,7.69,8.43,0.74
Jun.24,34188,63313,7.99,9.55,1.56
Jul.24,36500,75563,8.02,9.78,1.76
Aug.24,34900,76800,10.1,11.12,1.02
Sep.24,29063,67000,9.35,10.69,1.34
Oct.24,20375,45313,10.18,10.54,0.36
Nov.24,9300,26600,10.82,11.03,0.21
Dec.24,5625,23000,10.31,10.77,0.47
Jan.25,3500,17850,,,
Feb.25,,,,,
