Date,Actual Rate,Forecast Start Month,1-Month Forecast,3-Month Forecast,6-Month Forecast,12-Month Forecast
2024-01-01,,Jan,139750.0,184375.0,92562.5,119937.5
2024-02-01,,Feb,69750.0,197500.0,137500.0,90000.0
2024-03-01,,Mar,52375.0,139750.0,232750.0,83000.0
2024-04-01,,Apr,53950.0,69750.0,184375.0,68750.0
2024-05-01,,May,47562.5,52375.0,197500.0,61812.5
2024-06-01,,Jun,50700.0,53950.0,139750.0,80850.0
2024-07-01,,Jul,63312.5,47562.5,69750.0,92562.5
2024-08-01,,Aug,75562.5,50700.0,52375.0,137500.0
2024-09-01,,Sep,76800.0,63312.5,53950.0,232750.0
2024-10-01,,Oct,67000.0,75562.5,47562.5,184375.0
2024-11-01,,Nov,45312.5,76800.0,50700.0,197500.0
2024-12-01,,Dec,26600.0,67000.0,63312.5,139750.0
