Date,"LNG 145K CBM (Steam Turbine) Spot Rate
(avg., $/day)","LNG 174K CBM (2-stroke dual fuel) Spot Rate
(avg., $/day)",LNG Capacity (CBM),"LNG Carrier Newbuilding Prices (end month, $m)","LNG Orderbook (start month, CBM)","Aprox.
Ship on order","Global price of Natural Gas, Asia (start month, MMBTU)","Global price of Natural Gas, EU (start month, MMBTU)","Global price of Natural Gas, US Henry Hub (start month, MMBTU)","Spread
EU-US","Spread
ASIA-US","Spread
ASIA-EU"
Dec-2014,,,,,,,16.58,10.45,3.486521739,6.963478261,13.09347826,6.13
Jan-2015,40400,,48155260,200,24648968,141.6607356,15.5,9.5,2.936363636,6.563636364,12.56363636,6
Feb-2015,32000,,49299330,200,24951670,143.4004023,14.69,9.29,2.7565,6.5335,11.9335,5.4
Mar-2015,28250,,49459330,200,25026795,143.8321552,13.05,9.29,2.746363636,6.543636364,10.30363636,3.76
Apr-2015,25000,,49459330,200,25026795,143.8321552,11.02,7.39,2.596363636,4.793636364,8.423636364,3.63
May-2015,24600,,49946400,200,25034725,143.8777299,9.04,7.37,2.857619048,4.512380952,6.182380952,1.67
Jun-2015,26000,,49946400,200,25328216,145.5644598,8.79,7.3,2.768636364,4.531363636,6.021363636,1.49
Jul-2015,23800,,50436200,200,25372784,145.8205977,9.32,6.68,2.809130435,3.870869565,6.510869565,2.64
Aug-2015,23000,,50912624,200,25740748,147.9353333,10.16,6.66,2.752857143,3.907142857,7.407142857,3.5
Sep-2015,23000,,50912624,200,25525748,146.6997011,10.01,6.49,2.638181818,3.851818182,7.371818182,3.52
Oct-2015,22200,,51556080,200,25944039,149.1036724,10.37,6.01,2.384545455,3.625454545,7.985454545,4.36
Nov-2015,21000,,51556080,200,25961473,149.2038678,9.4,5.87,2.275714286,3.594285714,7.124285714,3.53
Dec-2015,21000,,52053380,199,25116173,144.3458218,10.15,5.81,2.042173913,3.767826087,8.107826087,4.34
Jan-2016,20200,,52398380,199,24589136,141.3168736,8.46,5.09,2.232380952,2.857619048,6.227619048,3.37
Feb-2016,15500,,53066680,199,23893461,137.3187414,7.99,4.79,1.93047619,2.85952381,6.05952381,3.2
Mar-2016,15000,,53240080,198,23719916,136.3213563,8.01,4.09,1.812608696,2.277391304,6.197391304,3.92
